text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
#balancetonporc  à l hôpital sortie de soin le médecin me plotte sans gêne aucune.  Hopital de Vendôme 41.,FALSE,0,NA,2017-10-21 23:43:26,FALSE,NA,921884664712790017,NA,<a href="https://mobile.twitter.com" rel="nofollow">Twitter Lite</a>,Lagrillone1,0,FALSE,FALSE,NA,NA
#DALS #KohLanta #balancetonporc #Balancetatruie #BalanceTaRacaille  https://t.co/Zb3lMaauwE,FALSE,0,NA,2017-10-21 23:42:16,FALSE,NA,921884369899409408,NA,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,FranklinHarlock,0,FALSE,FALSE,NA,NA
#balancetonporc https://t.co/I1EGU2vV2j,FALSE,0,NA,2017-10-21 23:41:57,FALSE,NA,921884290912276480,NA,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,UnDzLeRetour,1,FALSE,FALSE,NA,NA
TROLL à fond 

#balancetonporc 

d'heure en heure 

tous les parasites s'installent :-) 

pour ramener une plaie nationale à une mini crise,FALSE,0,NA,2017-10-21 23:40:16,FALSE,NA,921883867094700032,NA,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,FanchonF,0,FALSE,FALSE,NA,NA
@suralacaissiere Quand le hashtag #balancetonporc prend tout sons sens ������������
Putain la tristesse du mec... Et en plus,… https://t.co/Nou6DzhYJ6,FALSE,1,suralacaissiere,2017-10-21 23:39:19,TRUE,921837420936597505,921883627499278336,3837371235,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,AmazingNewf,0,FALSE,FALSE,NA,NA
@anne_sinclair @frhaz T'imagine si elle révélait que DSK l'avait niqué elle aussi ? #balancetonporc,FALSE,0,anne_sinclair,2017-10-21 23:39:14,FALSE,921291143974932480,921883606318018560,463153841,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,347pictures,0,FALSE,FALSE,NA,NA
holy… #dienachrichten #balancetonporc #Orgie #Extérieur https://t.co/qVWjDMXO0j,FALSE,0,NA,2017-10-21 23:39:10,FALSE,NA,921883589146546178,NA,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,PearsonSeth,0,FALSE,FALSE,NA,NA
