text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
On se demande si ce sont les mêmes qui balancen… https://t.co/70ARAerIC7,FALSE,0,NA,2017-12-02 22:07:24,TRUE,NA,937080785588445185,NA,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,lefuret91,0,FALSE,FALSE,NA,NA
#balancetonporc 
#michaelmoore https://t.co/tdMSZaJuFI,FALSE,3,NA,2017-12-02 22:04:40,FALSE,NA,937080099022700544,NA,<a href="http://twitter.com/#!/download/ipad" rel="nofollow">Twitter for iPad</a>,FrancDissident,6,FALSE,FALSE,NA,NA
#balancetonporc https://t.co/cjnnMqj8PO,FALSE,0,NA,2017-12-02 21:53:50,FALSE,NA,937077371383025665,NA,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,VariouXe,0,FALSE,FALSE,NA,NA
Ah bah tiens, #balancetonporc

������

#Stars80,FALSE,13,NA,2017-12-02 21:51:49,FALSE,NA,937076863733764097,NA,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,Jeremiiah14,1,FALSE,FALSE,NA,NA
En 2017, Patrick Coutin se prendrait-il un #balancetonporc sur Twitter ? #jaimeregarderlesfilles #Stars80,FALSE,2,NA,2017-12-02 21:50:23,FALSE,NA,937076506219745280,NA,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,kevboucher,0,FALSE,FALSE,NA,NA
#Stars80 

⚠⚠⚠ Y'en a un qui mate les filles sur la plage ⚠⚠⚠

#Balancetonporc,FALSE,12,NA,2017-12-02 21:48:26,FALSE,NA,937076014164971520,NA,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,Jean_Dorsans,5,FALSE,FALSE,NA,NA
'' J'aime regarder les filles qui marchent sur la plage ''

Le bonhomme n'a pas peur du #balancetonporc

������

#Stars80,FALSE,5,NA,2017-12-02 21:47:37,FALSE,NA,937075808069455874,NA,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,Jeremiiah14,0,FALSE,FALSE,NA,NA
#balancetonporc https://t.co/Hn6etUYUMk,FALSE,5,NA,2017-12-02 21:46:18,FALSE,NA,937075475767324672,NA,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,123DarkBlue,2,FALSE,FALSE,NA,NA
Quand on cherche les infos on les trouve, bravo ! #balancetonporc https://t.co/vXlS4m1B2n,FALSE,0,NA,2017-12-02 21:42:20,FALSE,NA,937074478760284160,NA,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,TaxiChrisFNDT,0,FALSE,FALSE,NA,NA
@verinaze "La taille parfaite pour pour des fesses c'est 13ans" #balancetonporc,FALSE,0,verinaze,2017-12-02 21:41:46,FALSE,NA,937074336774721541,314784670,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,Lord_Galactique,0,FALSE,FALSE,NA,NA
#Inochiildégage On ne le veut plus a l'antenne sur GladioSysteme/VirgilRadio ( @VirgilCoureaux @GlaGladi0 ) Il crée… https://t.co/lqCunpFpYH,FALSE,1,NA,2017-12-02 21:39:33,TRUE,NA,937073778135388160,NA,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,123DarkBlue,2,FALSE,FALSE,NA,NA
#Harcelement #MeToo #balancetonporc
Les #syndicats s’engagent contre les #violencesfaitesauxfemmes 
https://t.co/GP9agNvgHK,FALSE,0,NA,2017-12-02 21:29:07,FALSE,NA,937071152958189568,NA,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,DanielBrobecker,0,FALSE,FALSE,NA,NA
#balancetonuber , #balancetonporc  balance ta prof balance ta coloc balance ton patron balance ton proprio balance… https://t.co/ghvQnsQM3L,FALSE,1,NA,2017-12-02 21:05:31,TRUE,NA,937065213664391168,NA,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Daniela13D,0,FALSE,FALSE,NA,NA
#balancetonporc
Ton triple porc https://t.co/gLo79JSXp1,FALSE,1,NA,2017-12-02 20:59:34,FALSE,NA,937063717442899969,NA,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,FranAllard,0,FALSE,FALSE,NA,NA
#balancetonporc https://t.co/Gkk43EEckI,FALSE,0,NA,2017-12-02 20:56:24,FALSE,NA,937062919237455878,NA,<a href="https://mobile.twitter.com" rel="nofollow">Twitter Lite</a>,glagaulle,0,FALSE,FALSE,NA,NA
How the Tariq Ramadan Scandal Derailed the #Balancetonporc Movement in France https://t.co/N8LWzjw9cb,FALSE,0,NA,2017-12-02 20:51:16,FALSE,NA,937061626561351680,NA,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,Shanfaraa,1,FALSE,FALSE,NA,NA
#balancetonporc #saintnicolas #massepain https://t.co/62VrkiluZN,FALSE,3,NA,2017-12-02 20:32:25,FALSE,NA,937056883453648897,NA,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,mister_k_jimy,0,FALSE,FALSE,NA,NA
@Lila_Lebas @UNEF @gouvernementFR @lemondefr Balayez devant votre porte @Lila_LeBas avant de demander encore et enc… https://t.co/aeN5Go4SyU,FALSE,3,Lila_Lebas,2017-12-02 20:31:06,TRUE,936970983939952641,937056553336803328,1139224153,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,FrkGuiot,2,FALSE,FALSE,NA,NA
@SlypoksnipTOUIT @Baddack3 Je ne vais pas laisser un homme me dicter comment il me discrimine ! #Balancetonporc,FALSE,0,SlypoksnipTOUIT,2017-12-02 20:28:44,FALSE,937055532854267906,937055955757416448,1934669544,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,BrMushiking,0,FALSE,FALSE,NA,NA
les meufs maintenant elles mettent  un #balancetonporc car le mec la matte, mais elles montrent pas qu’elles sont e… https://t.co/17ueWWCSq3,FALSE,3,NA,2017-12-02 20:24:01,TRUE,NA,937054772221370370,NA,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,ll_FeNoMeNo_II,1,FALSE,FALSE,NA,NA
