text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
@sandrafellous_ Bientot la nana pas harcelée sera considérée comme suspecte voire collabo ! #BalanceTonPorc,FALSE,0,sandrafellous_,2017-10-24 08:23:14,FALSE,922357401721933825,922740253777068033,585736569,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,jlsfox,0,FALSE,FALSE,NA,NA
Après #MeToo et #BalanceTonPorc, une vidéo de sensibilisation au harcèlement refait surface https://t.co/bONxcGFpEA,FALSE,0,NA,2017-10-24 08:21:22,FALSE,NA,922739782857478145,NA,<a href="https://ifttt.com" rel="nofollow">IFTTT</a>,Mr_AlVil,0,FALSE,FALSE,NA,NA
Après #MeToo et #BalanceTonPorc, une vidéo de sensibilisation au harcèlement refait surface https://t.co/5olCat83cw,FALSE,0,NA,2017-10-24 08:21:12,FALSE,NA,922739740780236800,NA,<a href="https://ifttt.com" rel="nofollow">IFTTT</a>,RTBFinfo,0,FALSE,FALSE,NA,NA
@IsabelleGermain @tfsalomon @Guy_mm @xavier_alberti Votre edito pose les vraies questions. Pas #balancetonporc à mon avis.,FALSE,0,IsabelleGermain,2017-10-24 08:20:21,FALSE,922730600284524544,922739525335609344,29676972,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,valerietoranian,0,FALSE,FALSE,NA,NA
Texte magistral ! Bravo #balancetonporc https://t.co/eQ8wz5puU7 via @FigaroVox,FALSE,0,NA,2017-10-24 08:20:02,FALSE,NA,922739445077610497,NA,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,MarcMennessier,0,FALSE,FALSE,NA,NA
#BalanceTonPorc
 L'assassin Cesare Battisti protégé par la gauche!

 https://t.co/FG8r3byv5R via @Figaro_Inter,FALSE,0,NA,2017-10-24 08:19:23,FALSE,NA,922739285094223872,NA,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,romanichel35,0,FALSE,FALSE,NA,NA
#Violence #harcelement 
Le hashtag #balancetonporc : la voix des victimes libérées 
