text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
Parmi les "briseurs de silence" honorés #PersonOfTheYear par #Time il y a #SandraMuller qui a lancé #BalanceTonPorc… https://t.co/TS0K9yhwfP,FALSE,3,cedricfaiche,2017-12-06 12:46:42,TRUE,938386727391154183,938389235572334592,126284066,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,cedricfaiche,5,FALSE,FALSE,NA,NA
Bravo à @LettreAudio Sandra Muller et toutes les courageuses qui ont su briser le silence du harcèlement sexuel ave… https://t.co/y2qGtwZEAW,FALSE,0,NA,2017-12-06 12:43:49,TRUE,NA,938388509043421186,NA,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,benaym,0,FALSE,FALSE,NA,NA
Excellent choix #metoo #balancetonporc  https://t.co/mrioXw78wn,FALSE,0,NA,2017-12-06 12:41:34,FALSE,NA,938387944183947264,NA,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,PadmeSw,3,FALSE,FALSE,NA,NA
Vous croyez que @MarleneSchiappa rend hommage au même type que celui qui était accusé de viol par son ex femme il y… https://t.co/kOINGjxYha,FALSE,4,NA,2017-12-06 12:38:30,TRUE,NA,938387171052019712,NA,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,aliciapleure,0,FALSE,FALSE,NA,NA
#balancetonporc https://t.co/B6dC2Z9eXi,FALSE,0,NA,2017-12-06 12:37:09,FALSE,NA,938386831728676864,NA,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,paulac,0,FALSE,FALSE,NA,NA
En 2007, @realDonaldTrump a embrassée Summer Zervos sur la bouche à plusieurs reprises. Il a touché sa poitrine et… https://t.co/znKdQ47drd,FALSE,0,NA,2017-12-06 12:28:24,TRUE,NA,938384629358366721,NA,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,DoNoT3sk,2,FALSE,FALSE,NA,NA
#BalanceTonPorc Mélissandre https://t.co/7aUme878Qz,FALSE,0,NA,2017-12-06 12:24:16,FALSE,NA,938383588487286784,NA,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,NicoEinstein,1,FALSE,FALSE,NA,NA
@jerstaa @GuyaneActu C'est qui celle citée ?  #BalancetonVRAIporc ...Oh #djeeZeus...Tu en sais des choses. Alors co… https://t.co/eYCTFqdFhV,FALSE,0,jerstaa,2017-12-06 12:18:35,TRUE,938381067685453824,938382158061858816,3051990992,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,Bondamanjak,0,FALSE,FALSE,NA,NA
#balancetonporc . Retour en arrière aux us https://t.co/OeqhTCeRZY,FALSE,0,NA,2017-12-06 12:16:02,FALSE,NA,938381516979269632,NA,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,LettreAudio,0,FALSE,FALSE,NA,NA
Les mains dans les slips peuvent continuer à se balader...https://t.co/2bZFyXDw18

PAR MAÎTRE GREGOIRE REY

#buttet… https://t.co/rLBQSXTqOn,FALSE,0,NA,2017-12-06 12:00:09,TRUE,NA,938377519044222977,NA,<a href="http://bufferapp.com" rel="nofollow">Buffer</a>,1dex_Valais,0,FALSE,FALSE,NA,NA
Besoin d'un grand nettoyage anti-harceleurs dans les partis politiques @MRC_France @lesteclair #balancetonporc,FALSE,1,NA,2017-12-06 11:54:09,FALSE,NA,938376007828033536,NA,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,Shonah25,0,FALSE,FALSE,NA,NA
@alohanavictoria @goutmathilde1 Mdr c une blague pck g une bite g pas le.droit #balancetonporc,FALSE,1,alohanavictoria,2017-12-06 11:48:12,FALSE,938374349962301440,938374511891795968,2771293684,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,MiguelFonsecx,0,FALSE,FALSE,NA,NA
Dans le même registre que #JohnnyHallyday, aimant les mineures et ne s'en cachant pas : #LucBesson. Rencontre Maïwe… https://t.co/RQYQII0bbb,FALSE,0,NA,2017-12-06 11:48:03,TRUE,NA,938374475753680896,NA,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,lea_bomination,1,FALSE,FALSE,NA,NA
Quand tu te fais harceler par des gay qui ne savent pas lire et qui insiste malgré que je leur dis que je suis 100… https://t.co/hjtiRsjILI,FALSE,0,NA,2017-12-06 11:47:29,TRUE,NA,938374333826846720,NA,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,BoysEscorte,1,FALSE,FALSE,NA,NA
Bernie Bonvoisin , le chanteur du groupe de hard rock "Trust" ,  ce pervers pedophile de 61 ans qui pousse des ado… https://t.co/5Z1Pv37OiE,FALSE,0,NA,2017-12-06 11:45:36,TRUE,NA,938373855936237570,NA,<a href="https://mobile.twitter.com" rel="nofollow">Twitter Lite</a>,carine_russo,0,FALSE,FALSE,NA,NA
Quand tu te fais harceler par des gay qui ne savent pas lire et qui insiste malgré que je leur dis que je suis 100… https://t.co/naqHHGpm15,FALSE,0,NA,2017-12-06 11:45:17,TRUE,NA,938373776236048384,NA,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,BoysEscorte,0,FALSE,FALSE,NA,NA
@haikatte https://t.co/JimFTpPmy2
et pas que...
https://t.co/jTkcC5VHJt
